RECORD,CAMIS,DBA,BUILDING,STREET,ZIPCODE,BORO,PHONE,CUISINE_DESCRIPTION,LATITUDE,LONGITUDE,COMMUNITY_BOARD,COUNCIL_DISTRICT,CENSUS_TRACT,BIN,BBL,NTA
17260,41122178,PORT ROYAL JAMAICAN RESTAURANT,113-07,SUTPHIN BOULEVARD,11435,Queens,7183236611,Caribbean,40.68679191,-73.79427421,412,28,27000,4537925,4121690005,QN01
17262,50089448,PUBLIC RECORDS,233,BUTLER STREET,11217,Brooklyn,9172325676,Vegan,40.68195552,-73.98647224,306,33,7100,3336080,3004050051,BK38
17271,50044543,BONUS ROOM,991,WYCKOFF AVENUE,11385,Queens,6469248488,American,40.69604694,-73.90486726,405,34,55500,4085603,4035510001,QN20
17274,50116753,JIMMY'S PIZZERIA,1907,STORY AVENUE,10473,Bronx,7182394333,Pizza,40.82412841,-73.85940262,209,18,4200,,2,BX09
17276,50099353,LA AURORA,239-17,BRADDOCK AVENUE,11426,Queens,7183474271,Spanish,40.72655067,-73.728606,413,23,162100,4167536,4079870052,QN43
17278,50078421,CAMPEON DEL POLLO RESTAURANT,107-02,CORONA AVENUE,11368,Queens,7182711455,Latin American,40.74359565,-73.85587778,404,21,43900,4047746,4019427501,QN25
17280,41615845,ROCCO PIZZA III,330,HALSEY STREET,11216,Brooklyn,7185739200,American,40.68287406,-73.94042944,303,36,27500,3053142,3018470004,BK35
17282,41286440,RADEGAST HALL & BIERGARTEN,113,NORTH    3 STREET,11249,Brooklyn,7189633973,German,40.71661917,-73.96179804,301,34,55500,3329975,3023500026,BK73
17291,50130506,SWEETEA,167,MADISON AVENUE,10016,Manhattan,8606057611,Coffee/Tea,40.74699242,-73.9835032,105,4,7400,1080790,1008620051,MN17
17292,40535383,ADRIA HOTEL,221-17,NORTHERN BOULEVARD,11361,Queens,7186315900,American,40.76172644,-73.76006979,411,19,147100,4138736,4063270001,QN46
17293,50059293,CLASSIC PIZZA,3201B,RICHMOND ROAD,10306,Staten Island,7189872500,Pizza,40.57542614,-74.12750166,502,50,27900,5104067,5022420088,SI24
17295,50079237,RAMEN SPOT,760,MANHATTAN AVENUE,11222,Brooklyn,6466781788,Asian/Asian Fusion,40.72667798,-73.95243694,301,33,56100,3330096,3026200001,BK76
17298,50065863,BEATS KARAOKE CAFE,219,GRAND STREET,11211,Brooklyn,7183023030,Korean,40.71379953,-73.95957401,301,34,51900,3342373,3023827502,BK73
17304,50006323,LA ISLA RESTAURANT,1439,MYRTLE AVENUE,11237,Brooklyn,7184170668,Spanish,40.69882124,-73.91823941,304,37,43100,3075417,3033000005,BK77
17305,50163946,JUMBO BAGEL,696,3 AVENUE,10017,Manhattan,2128371183,Bagels/Pretzels,40.75188998,-73.97363783,106,4,9200,1036167,1012980038,MN19
17308,40513609,SKYLIGHT DINER,402,WEST   34 STREET,10001,Manhattan,2122440395,American,40.75347943,-73.99656027,104,3,10300,1012849,1007310048,MN13
17309,50113259,YIN JI CHANG FEN FLUSHING,38-12,PRINCE STREET,11354,Queens,7186379338,Chinese,40.76004356,-73.83255931,407,20,87100,4439967,4049720152,QN22
17311,41582839,SUBWAY,205-12,NORTHERN BOULEVARD,11361,Queens,7184282177,Sandwiches,40.75806243,-73.77792182,411,19,146300,4156612,4073010022,QN46
17312,50107723,ROMA PIZZA,735,ALLERTON AVENUE,10467,Bronx,7187984825,Pizza,40.86546357,-73.8657902,211,15,33800,2053637,2045100063,BX07
17316,40826386,SOMBRERO,303,WEST   48 STREET,10036,Manhattan,2125864853,Mexican,40.76123274,-73.98747765,104,3,12700,1025141,1010390029,MN15
17317,41558768,BCAKENY,702,WASHINGTON AVENUE,11238,Brooklyn,9173710403,Bakery Products/Desserts,40.67697976,-73.96362344,308,35,20500,3028564,3011530037,BK64
17320,50138721,MAIN STREET IMPERIAL TAIWANESE,59-10,MAIN STREET,11355,Queens,7188868788,Chinese,40.74370193,-73.82566073,407,20,80301,4538443,4063810037,QN62
17327,40911114,SWAY LOUNGE,305,SPRING STREET,10013,Manhattan,2126205220,American,40.72592449,-74.00842076,102,3,3700,1010363,1005970032,MN24
17329,50083116,THE GREAT CABIN,205,EAST    4 STREET,10009,Manhattan,2127770454,American,40.72390079,-73.98397795,103,2,3200,1005038,1004000055,MN22
17330,50076191,JOLLIBEE,609,8 AVENUE,10018,Manhattan,2129942711,Chicken,40.75568042,-73.99092936,104,3,11500,1013687,1007630038,MN15
17333,41575897,SAN CAFFE,56-36,61 STREET,11378,Queens,3474309748,Bakery Products/Desserts,40.7241091,-73.90441215,405,30,53100,4060403,4027040075,QN30
17334,50115174,PARIS BAGUETTE,27-31,JACKSON AVENUE,11101,Queens,9175180388,Bakery Products/Desserts,40.74791123,-73.94016535,402,26,1900,4005127,4004320008,QN31
17335,50149596,CHICKEN BOX,201-03,MURDOCK AVENUE,11412,Queens,7182852923,Fusion,40.70027926,-73.75364503,412,27,52000,4438842,4109960028,QN08
17342,50103295,CIAO BELLA COFFEE,284,CLARKSON AVENUE,11226,Brooklyn,7186761426,Coffee/Tea,40.65536805,-73.95073642,317,40,82000,3116268,3050660048,BK60
17343,50138885,THE QUIMBY,135-25,142 STREET,11436,Queens,5165278424,American,40.66792108,-73.79710828,412,28,79200,4607474,4120990015,QN76
17348,40624409,FAMOUS FISH MARKET,684,ST NICHOLAS AVENUE,10030,Manhattan,2124918323,Seafood,40.82343003,-73.94502916,109,9,22700,1079812,1020510054,MN04
17350,40962966,JADE LINDEN RESTAURANT,78-06,LINDEN BOULEVARD,11414,Queens,7182967105,Chinese,40.67026777,-73.85707504,410,32,6202,4245804,4113840001,QN57
17354,50119088,CHONGQING WHARF,6324,FORT HAMILTON PARKWAY,11219,Brooklyn,3472102242,Chinese,40.63147406,-74.00797647,310,38,12000,3328749,3057360028,BK34
17356,50072027,WENDY'S,387,EAST  149 STREET,10455,Bronx,2015674900,Sandwiches,40.81625314,-73.91836915,201,17,6500,2000859,2023280025,BX34
17359,41579195,JIREH RESTAURANT,8715,18 AVENUE,11214,Brooklyn,7182565433,Spanish,40.60485256,-74.00514266,311,43,28000,3167744,3064030023,BK27
17363,50067198,EL DORADO,54-55,MYRTLE AVENUE,11385,Queens,7184184035,Latin American,40.699767,-73.90935917,405,34,54900,4082333,4034460035,QN20
17366,50060368,EAST COAST,658,ROGERS AVENUE,11226,Brooklyn,7184508393,Caribbean,40.65549251,-73.95299966,309,40,82200,3116021,3050560058,BK60
17367,50134501,WENDY'S,24,WEST   23 STREET,10010,Manhattan,5169835184,American,40.74195658,-73.99058119,105,3,5800,1015573,1008240052,MN13
17374,50087862,CHIP CITY,42-15,CRESCENT STREET,11101,Queens,3478087700,Bakery Products/Desserts,40.75015959,-73.94094651,402,26,1900,4005057,4004230005,QN31
17376,41428009,LOS FLORENCIOS,1479,MYRTLE AVENUE,11237,Brooklyn,7183660399,Bakery Products/Desserts,40.69897933,-73.91669928,304,37,43300,3075723,3033090038,BK77
17378,50091503,KOLKATA CHAI CO.,199,EAST    3 STREET,10009,Manhattan,6468923023,Coffee/Tea,40.72289339,-73.98348394,103,2,3200,1004999,1003990038,MN22
17379,50134123,TOTOPOS,4156,WHITE PLAINS ROAD,10466,Bronx,3472082811,Mexican,40.89228938,-73.85797388,212,12,42200,2063676,2048450036,BX44
17380,50113454,VIVI BUBBLE TEA,170,WEST   23 STREET,10011,Manhattan,9176605808,Coffee/Tea,40.74366958,-73.99465532,104,3,9100,1068238,1007987502,MN13
17382,50010993,THE COPPER STILL,151,2 AVENUE,10003,Manhattan,2125108469,American,40.72940993,-73.98709037,103,2,4000,1006798,1004650050,MN22
17385,50106170,RUTA OAXACA,35-03,BROADWAY,11106,Queens,9293491228,Mexican,40.76041372,-73.92205842,401,22,6100,4009767,4006480007,QN70
17391,50128573,LAO JIE HOTPOT,105,BOWERY,10002,Manhattan,6464788166,Chinese,40.71770412,-73.99519131,103,1,1600,1003923,1003040006,MN27
17394,41249417,ROLLERJAM USA,236,RICHMOND VALLEY ROAD,10309,Staten Island,7186056600,American,40.52109225,-74.23655983,503,51,24800,5107860,5079710250,SI11
17395,50119126,BROOKLYN KEBAB HOUSE,6825,5 AVENUE,11220,Brooklyn,9292922001,Middle Eastern,40.63393452,-74.020803,310,47,13000,3145313,3058650001,BK31
17396,50150063,ART OF KEBABS,4367,WEBSTER AVENUE,10470,Bronx,9295273618,Pakistani,40.90060494,-73.86170366,212,11,45102,2019827,2033980064,BX62
17397,50147896,BRASAS RESTAURANT & BAR,743,EAST  187 STREET,10458,Bronx,7188010910,Latin American,40.85372943,-73.88299526,206,15,39300,2092317,2031040060,BX06
17398,50102879,IZAKAYA TORIBAR,164,EAST   56 STREET,10022,Manhattan,6467670029,Asian/Asian Fusion,40.75993643,-73.96891312,106,4,10000,1036533,1013100140,MN19
17400,41616112,NFL-HUDDLE CAFE,345,PARK AVENUE,10154,Manhattan,2124502352,American,40.75816441,-73.97324549,105,4,10000,1036460,1013060001,MN19
17402,50141131,MARIACHI MEXICAN CANTINA,10,MINTHORNE STREET,10301,Staten Island,3478254236,Mexican,40.63735903,-74.07541207,501,49,2100,5013238,5004970009,SI37
17403,50000113,TU CACHAPA,4195,BROADWAY,10033,Manhattan,2125687575,Spanish,40.8481674,-73.93777959,112,10,26500,1064271,1021760070,MN36
17405,50096822,SOHO THAI,141,GRAND STREET,10013,Manhattan,2129668916,Thai,40.72024039,-73.99950216,102,1,4500,1003045,1002330012,MN24
17407,41377997,RISPOLI PASTRY SHOP,1184,BAY STREET,10305,Staten Island,7182735300,Bakery Products/Desserts,40.61438529,-74.06637066,501,49,800,5042753,5028500030,SI37
17411,50085691,SOFRA MEDITERRANEAN GRILL,45-08,46 STREET,11104,Queens,3475800832,Mediterranean,40.74273245,-73.9187952,402,26,18300,4001953,4001640001,QN31
17412,50078853,CHRISTMAS IN THE CITY,142,MULBERRY STREET,10013,Manhattan,5165676187,Coffee/Tea,40.71872251,-73.99758299,102,1,4100,1003088,1002370007,MN24
17416,50105456,BACI,1657,RICHMOND ROAD,10304,Staten Island,7183169707,Italian,40.589772,-74.101188,502,50,18100,5022897,5008830027,SI24
17423,50040509,AUNTIE ANNE'S PRETZELS,2655,RICHMOND AVENUE,10314,Staten Island,7186981600,Bagels/Pretzels,40.58229742,-74.16905259,502,51,27702,5039658,5024000180,SI24
17430,50009731,BON CAFE ET RESTAURANT,41-31,QUEENS BOULEVARD,11104,Queens,6469633156,Coffee/Tea,40.74366307,-73.92299835,402,26,18102,4002472,4001880043,QN31
17432,50135920,PIC UP STIX,1372,LEXINGTON AVENUE,10128,Manhattan,2128607600,Asian/Asian Fusion,40.78242174,-73.95345859,108,4,14802,1048276,1015190059,MN40
17437,50106557,SAIGON SOCIAL,172,ORCHARD STREET,10002,Manhattan,6466093202,Southeast Asian,40.72162866,-73.9884195,103,1,3001,1005386,1004120001,MN27
17438,41086368,LUZ DE AMERICA,104-30,ROOSEVELT AVENUE,11368,Queens,7186512060,Latin American,40.75017513,-73.86054822,404,21,40300,4048773,4019840010,QN26
17441,40378874,TERRA BLUES,149,BLEEKER STREET,10012,Manhattan,2127777776,American,40.72826883,-73.99935778,102,1,6500,1008649,1005370036,MN23
17443,40674404,MARKET RESTAURANT (C-D BLOCK),355,FOOD CENTER DRIVE,10474,Bronx,7185422900,American,40.80762192,-73.87147025,202,17,11700,2109483,2027810460,BX27
17446,50070482,BACICCIA,426,7 AVENUE,11215,Brooklyn,3472095760,Italian,40.66373815,-73.98421954,306,39,14900,3023775,3010430043,BK37
17449,50058174,SMOKE BBQ PIT,129-21,MERRICK BOULEVARD,11434,Queens,7183416100,Barbecue,40.68073016,-73.76372259,412,27,36600,4270006,4124900001,QN08
17451,41409219,JACOB SOUL FOOD RESTAURANT,373,LENOX AVENUE,10027,Manhattan,2128663663,Soul Food,40.81011193,-73.94378307,110,9,22400,1057951,1019130035,MN03
17453,50042664,MR. PURPLE,180,ORCHARD STREET,10002,Manhattan,2122371790,American,40.72184548,-73.98830401,103,1,3001,1090121,1004127501,MN27
17455,41594766,JOJU / JOJU BOWL,83-25,BROADWAY,11373,Queens,3478080887,Southeast Asian,40.74072715,-73.87949197,404,25,47100,4314498,4015800005,QN29
17458,50112938,MANHATTANVILLE MARKET,3229,BROADWAY,10027,Manhattan,6092736003,Latin American,40.81662566,-73.9576182,109,7,21900,1089936,1019960023,MN06
17459,50129567,EL CHANGARO RESTAURANT,102-10,37 AVENUE,11368,Queens,9173092198,Spanish,40.7530517,-73.8651874,403,21,40500,4044219,4017680007,QN26
17460,41375603,CACHAPAS Y MAS,107,DYCKMAN STREET,10040,Manhattan,2123042224,Latin American,40.86192457,-73.92494329,112,10,29100,1064719,1022170051,MN01
17461,50138242,JUST SALAD,4,COLUMBUS CIRCLE,10019,Manhattan,2122441111,Salads,40.7675588,-73.98279772,104,3,13900,1026054,1010480033,MN15
17462,50034203,SUBWAY,1864,86 STREET,11214,Brooklyn,7182598800,Sandwiches,40.60630466,-74.00110202,311,38,27800,3166700,3063710047,BK28
17465,50070991,AMY'S BREAD,1220,5 AVENUE,10029,Manhattan,9174923478,Bakery Products/Desserts,40.79243143,-73.95244757,111,8,16800,1074157,1016090001,MN33
17466,50123483,MR DUCK,5602,7 AVENUE,11220,Brooklyn,9174885555,Chinese,40.63898916,-74.00951231,307,38,10200,3015464,3008410038,BK34
17469,50078728,MCDONALD'S,395,FLATBUSH AVENUE EXTENSION,11201,Brooklyn,7185224983,Hamburgers,40.68981584,-73.98140434,302,35,3300,3058594,3020930001,BK68
17472,50154371,NORMS PIZZA,8,CORTLANDT STREET,10007,Manhattan,6466492692,Pizza,40.70998821,-74.01038816,101,1,1300,1001079,1000630021,MN25
17473,50111191,BLUESTONE LANE,109,WEST BROADWAY,10013,Manhattan,9177421518,Australian,40.71608996,-74.00874778,101,1,3300,1001598,1001460011,MN24
17476,50107475,THE BEAN,54,2 AVENUE,10003,Manhattan,9172620929,Coffee/Tea,40.72566359,-73.98979338,103,2,3800,1006162,1004450001,MN22
17479,50133797,CARMEN'S KITCHEN / 2 BROS PIZZA,45,WEST   46 STREET,10036,Manhattan,2122391117,Other,40.75666175,-73.98051932,105,4,9600,1034320,1012620017,MN17
17480,50123491,BOTTE,327,GOLD STREET,11201,Brooklyn,7185165090,Italian,40.69452891,-73.98327101,302,35,1500,3332462,3020490008,BK38
17481,50004682,DAISY'S PIZZA,3075,3 AVENUE,10451,Bronx,7182925503,Pizza,40.82101368,-73.91247764,201,17,6900,2001454,2023790058,BX34
17485,50108969,SHEPHERD'S CUP,2123,AVENUE U,11229,Brooklyn,6467856446,Coffee/Tea,40.59952789,-73.95008998,315,48,57800,3198377,3073260040,BK44
17486,40875290,SEAFOOD CITY,459,CITY ISLAND AVENUE,10464,Bronx,7188853600,Seafood,40.85113502,-73.78846481,210,13,51600,2096039,2056340019,BX10
17487,50140362,HAMPTON INN NYC TIMES SQUARE & HOME2 SUITES NYC TIMES SQUARE,150,WEST   48 STREET,10105,Manhattan,3037853100,American,40.75923944,-73.98278544,105,4,12500,1091592,1010007502,MN17
17489,50075962,CHAMPION PIZZA,17,CLEVELAND PLACE,10012,Manhattan,2122263777,Pizza,40.72159627,-73.99733757,102,1,4100,1007195,1004810008,MN24
17490,50063273,MAD DOG & BEANS MEXICAN CANTINA,5,EAST   38 STREET,10016,Manhattan,6469985722,Mexican,40.75073883,-73.98219934,105,4,8200,1017227,1008680008,MN20
17492,50015433,FRUCES,1496,AMSTERDAM AVENUE,10031,Manhattan,6468613279,"Juice, Smoothies, Fruit Salads",40.81809772,-73.95283019,109,7,21900,1059742,1019870036,MN06
17494,50085516,EAST SUSHI BISTRO,2106,EAST   19 STREET,11229,Brooklyn,3478378223,Japanese,40.5988345,-73.95253917,315,48,57800,3199703,3073510010,BK44
17499,40539661,BAKE AND THINGS RESTAURANT,184,EAST   35 STREET,11203,Brooklyn,7188261807,Caribbean,40.65063331,-73.94473963,317,40,85600,3109425,3048880011,BK91
17502,50084090,ACENTO,33-06,DITMARS BOULEVARD,11105,Queens,7184409435,Latin American,40.77527836,-73.90951595,401,22,11700,4017008,4008320054,QN72
17509,50014390,CINCO DE MAYO,42-29,BELL BOULEVARD,11361,Queens,7182240330,Tex-Mex,40.76224145,-73.77030548,411,19,146700,4438276,4062980006,QN46
17510,41047105,LIBRETTO'S PIZZERIA,546,3 AVENUE,10016,Manhattan,2122136445,Pizza,40.74720815,-73.97705021,106,4,8000,1018963,1008920041,MN20
17523,50138359,WRAPTOR,358,COLUMBIA STREET,11231,Brooklyn,6464023560,American,40.67966156,-74.00527824,306,38,5900,3008255,3005120034,BK33
17525,50107886,STEVE'S ORIGINAL JERK CHICKEN,4902,CHURCH AVENUE,11203,Brooklyn,3476150399,Caribbean,40.65168274,-73.93122437,317,45,86000,3102819,3046970001,BK91
17532,50010172,JUICE GENERATION,122,EAST   42 STREET,10168,Manhattan,2126611300,"Juice, Smoothies, Fruit Salads",40.75159416,-73.97644956,105,4,8000,1036152,1012960014,MN20
17538,41151163,GALAXY DINER,665,9 AVENUE,10036,Manhattan,2125864885,American,40.76108208,-73.99070121,104,3,12700,1080934,1010560029,MN15
17541,50070447,PAPA JOHN'S PIZZA,3746,3 AVENUE,10456,Bronx,7186817272,Pizza,40.83613486,-73.90273998,203,16,16900,2088289,2029270003,BX01
17543,41403088,SHARLENE'S,353,FLATBUSH AVENUE,11238,Brooklyn,3476381272,American,40.6769163,-73.97226155,308,35,16300,3029033,3011640011,BK64
17544,50060232,HOLIDAY INN EXPRESS MANHATTAN TIMES SQUARE SOUTH,60,WEST   36 STREET,10018,Manhattan,2128973388,American,40.75065974,-73.98588437,105,4,8400,1015915,1008370078,MN17
17547,50119196,SALLY'S SOUTHERN,427,FOREST AVENUE,10301,Staten Island,7187272559,Barbecue,40.63082369,-74.1035418,501,49,6700,5003237,5001320001,SI35
17551,50119164,STARBUCKS #58851,904,LEXINGTON AVENUE,10065,Manhattan,9177642054,Coffee/Tea,40.76739812,-73.96441863,108,4,12000,1042468,1014020013,MN40
17553,50070940,PAPA JOHN'S PIZZA,896,AMSTERDAM AVENUE,10025,Manhattan,2128647272,Pizza,40.79898819,-73.96677827,107,7,19100,1056566,1018750036,MN12
17554,41139608,MOTT CORNER,58,KENMARE STREET,10012,Manhattan,2124311192,American,40.72093474,-73.99591981,102,1,4100,1007186,1004800033,MN24
17555,50131961,DNL PIZZA PLUS,146-21,ROCKAWAY BOULEVARD,11436,Queens,9292319976,Other,40.67346338,-73.79131249,412,28,18401,4312692,4120500223,QN76
17556,50149760,MIGHTY QUINN'S BARBEQUE,433,3 AVENUE,11215,Brooklyn,9292325187,Barbecue,40.67230527,-73.99029906,306,39,12100,3396804,3009970006,BK37
17559,40829150,SOCIETY OF ILLUSTRATORS,128,EAST   63 STREET,10065,Manhattan,2128382560,American,40.76489012,-73.96677369,108,4,11402,1042056,1013970060,MN40
17561,50108151,NEW HONG KONG RESTAURANT,1838,EAST TREMONT AVENUE,10460,Bronx,6463619275,Chinese,40.84054219,-73.8664876,209,18,21601,2028704,2039250009,BX08
17565,41579144,SALT AND PEPPER RESTAURANT & CAFE,139,WEST   33 STREET,10001,Manhattan,2122681919,Fusion,40.74963084,-73.98944322,105,3,10100,1015196,1008090016,MN17
17566,40536227,JADE ISLAND RESTAURANT,2845,RICHMOND AVENUE,10314,Staten Island,7187618080,Chinese,40.57654604,-74.16975073,502,51,27702,5127009,5024600098,SI24
17567,40750262,MARRIOTT MARQUIS - Main Kitchen/5th Floor Emplyee Cafe,1535,BROADWAY,10036,Manhattan,9298220421,American,40.75825993,-73.98546765,105,3,11900,1024727,1010170029,MN17
17568,50035310,DANTE,79,MACDOUGAL STREET,10012,Manhattan,2129825275,Italian,40.72877111,-74.00153341,102,2,6500,1008305,1005260028,MN23
17569,41297164,TASTE OF CHINA,7801,13 AVENUE,11228,Brooklyn,7182560101,Chinese,40.61848839,-74.00929686,310,43,19800,3161892,3062560010,BK30
17570,50107564,FRIEDMAN'S / PICK A BAGEL,35,WEST END AVENUE,10023,Manhattan,2127670285,American,40.77302167,-73.98943227,107,6,15100,1087719,1011710063,MN14
17571,41540906,AI FIORI,400,5 AVENUE,10018,Manhattan,2126138660,Italian,40.75003086,-73.98340861,105,4,8400,1015937,1008387501,MN17
17576,50111665,BONNIE'S,398,MANHATTAN AVENUE,11211,Brooklyn,3474826738,Chinese,40.71779336,-73.94662453,301,34,49700,3068184,3027390009,BK90
17578,50108692,In Common Cafe,441,9 AVENUE,10001,Manhattan,9176890051,Australian,40.75375114,-73.99604773,104,3,11100,1012860,1007327501,MN13
17581,50100503,KALOPSIA,1324,JEROME AVENUE,10452,Bronx,7189424445,Bottled Beverages,40.83856001,-73.91887293,204,16,22101,2008044,2028400001,BX63
17584,50144747,COSI,532,WEST   46 STREET,10036,Manhattan,3474216015,American,40.76274293,-73.99498589,104,3,12900,1026948,1010740047,MN15
17585,50077770,ISLAND BITES,2107,1 AVENUE,10029,Manhattan,6468508855,Caribbean,40.79106643,-73.93901771,111,8,17000,1052807,1016800023,MN33
17589,50082440,EMPANADA LOCA BEER GARDEN,9,DEKALB AVENUE,11201,Brooklyn,9174163314,American,40.68997796,-73.98254016,302,33,1500,3000370,3001497503,BK38
17590,50128839,LLIANA'S BAR LOUNGE,15-11A,COLLEGE POINT BOULEVARD,11356,Queens,7187990253,Steakhouse,40.78403485,-73.8458054,407,19,92500,4098329,4040840011,QN23
17591,50118549,E&A'S BAKE N BREW,30-30,47 AVENUE,11101,Queens,6463874904,Coffee/Tea,40.74316085,-73.93656804,402,26,19900,4003540,4002820001,QN31
17593,50128557,LA MASA,2542,EAST TREMONT AVENUE,10461,Bronx,9177089247,Spanish,40.84292247,-73.84921395,210,13,20000,2042385,2040010054,BX37
17594,40745610,MILAN SPORTS BAR,73-11,METROPOLITAN AVENUE,11379,Queens,7187023888,Coffee/Tea,40.71275207,-73.87910988,405,30,65702,4071505,4030580075,QN21
17610,41502332,EL NUEVO POLLO RESTURANT #2,651,MORRIS PARK AVENUE,10462,Bronx,3478105304,Latin American,40.84490493,-73.86765347,211,13,23600,2043413,2040480009,BX37
17611,50119703,GOLDEN FOUNTAIN CHINESE KITCHEN,116-16,METROPOLITAN AVENUE,11418,Queens,7184415000,Chinese,40.7073705,-73.83570746,409,29,13400,4079252,4033210007,QN60
17618,50007676,KRUPA GROCERY,231,PROSPECT PARK WEST,11215,Brooklyn,7187097098,American,40.65992238,-73.98074952,307,39,16900,3026935,3011100002,BK40
17625,50139338,LARK BY THE PARK,1311,CATON AVENUE,11226,Brooklyn,3479467341,American,40.64967867,-73.9677178,314,40,17700,3411682,3050510001,BK99
17632,50126868,SAPERAVI,245,EAST   14 STREET,10003,Manhattan,6464788669,Eastern European,40.7328545,-73.98613713,106,2,4800,1019514,1008960023,MN21
17633,50139553,SALVAJE SOCIAL CLUB,79-11,NORTHERN BOULEVARD,11372,Queens,3476132405,Latin American,40.75528846,-73.88795138,403,25,30903,4026843,4011750036,QN28
17634,41558805,BANTER,132,HAVEMEYER STREET,11211,Brooklyn,7185995200,American,40.71214083,-73.95720515,301,34,52300,3063005,3024087504,BK73
17636,50148509,PANGAT,369,5 AVENUE,11215,Brooklyn,3474220059,Southeast Asian,40.67127809,-73.98453137,306,39,13700,3021385,3009880004,BK37
17637,50105307,ROCCO’S OF ROC BEACH COAL BRICK OVEN PIZZA,115-10,ROCKAWAY BEACH BOULEVARD,11694,Queens,5167813451,Italian,40.58002725,-73.83646112,414,32,93800,4303733,4161660005,QN10
17639,50079426,BEATSTRO,135,ALEXANDER AVENUE,10454,Bronx,7184899397,American,40.8073002,-73.92716167,201,8,1900,2000000,2023090026,BX39
17641,50106573,EL MIL SABORES,695,9 AVENUE,10036,Manhattan,2124896677,Tex-Mex,40.76202897,-73.99001882,104,3,12700,1079065,1010570035,MN15
17643,50000983,SABROSURA 2 RESTAURANT,1806,WESTCHESTER AVENUE,10472,Bronx,7185029878,Chinese/Cuban,40.83195882,-73.8660062,209,18,7000,2024738,2037640035,BX55
17644,50104231,BONDI SUSHI,75,KENMARE STREET,10012,Manhattan,9293972384,Japanese,40.7210967,-73.9963491,102,1,4100,1007179,1004800009,MN24
17645,41636395,PRINCE ST PIZZA,27,PRINCE STREET,10012,Manhattan,2129664100,Pizza,40.72292739,-73.99463895,102,1,4300,1007913,1005080051,MN24
17647,50060781,KUMA NYC,1520,MYRTLE AVENUE,11237,Brooklyn,7183663790,Asian/Asian Fusion,40.69936076,-73.91287959,304,37,43900,3076354,3033360015,BK77
17654,50094976,BARDOUGH,350,WEST   46 STREET,10036,Manhattan,9172620543,Pizza,40.76038754,-73.98936931,104,3,12100,1025023,1010360053,MN15
17658,50119879,PRIMA BROOKLYN,147,GREENE AVENUE,11238,Brooklyn,9179213364,Other,40.68666959,-73.96616739,302,35,19700,3055506,3019450150,BK69
17660,50088489,VAN LEEUWEN ICE CREAM,224,FRONT STREET,10038,Manhattan,,Frozen Desserts,40.70747994,-74.00222904,101,1,1501,1086561,1000977503,MN25
17661,50033839,SUBWAY,7,EAST   14 STREET,10003,Manhattan,2124621076,Sandwiches,40.73585242,-73.99324506,105,2,5200,1016062,1008420007,MN13
17662,50073490,FIVE GUYS FAMOUS BURGERS AND FRIES,1008,6 AVENUE,10018,Manhattan,2128589401,Hamburgers,40.75197452,-73.98618005,105,4,8400,1015955,1008390005,MN17
17664,40990299,ELEGANT CHINESE RESTAURANT,212-06,HILLSIDE AVENUE,11427,Queens,7187768270,Chinese,40.7248071,-73.7538715,413,23,54800,4228580,4106690089,QN34
17667,50068860,IRVING FARM NEW YORK,78,WEST    3 STREET,10012,Manhattan,2122060707,Coffee/Tea,40.72972904,-73.99872274,102,2,6500,1008676,1005390021,MN23
17668,50100820,TEXAS CHICKEN AND BURGERS,277,EAST  206 STREET,10467,Bronx,7187084737,Chicken,40.87494572,-73.87986972,207,11,41900,2018028,2033350181,BX43
17669,40600516,CAFFE PALERMO,148,MULBERRY STREET,10013,Manhattan,2124314205,Bakery Products/Desserts,40.71892836,-73.99747476,102,1,4100,1077451,1002370012,MN24
17677,41699792,MERITTA'S JAMAICAN AND AMERICAN RESTAURANT,223-15,LINDEN BOULEVARD,11411,Queens,7185270136,Caribbean,40.69424835,-73.73729542,413,27,59600,4244445,4113240001,QN33
17678,50078091,MAMI YSABEL,54-12,FLUSHING AVENUE,11378,Queens,6463991842,Latin American,40.71517081,-73.91309693,405,30,53500,4059183,4026350006,QN30
17680,50114664,BETWEEN THE BAGEL NY,31-13,30 AVENUE,11102,Queens,7189321425,Bagels/Pretzels,40.76680018,-73.92119533,401,22,7100,4008596,4006170003,QN71
17681,50037823,BAI DAR CAFE,6810,3 AVENUE,11220,Brooklyn,9293832012,Mediterranean,40.6363297,-74.02580832,310,47,6800,3145147,3058620046,BK31
17686,50046914,SHANGHAI MONG,30,WEST   32 STREET,10001,Manhattan,2126296450,Korean,40.74775591,-73.98695327,105,3,7600,1015830,1008330061,MN17
17688,50118250,SIMPLY NOODLES,267,AMSTERDAM AVENUE,10023,Manhattan,2127211000,Chinese,40.77891089,-73.98138659,107,6,15700,1029916,1011440001,MN14
17690,50099039,DUNKIN,1235,AMSTERDAM AVENUE,10027,Manhattan,2125325003,Donuts,40.80979444,-73.95886163,109,7,20701,1059521,1019630030,MN09
17698,50069910,TASTE KITCHEN,316,WEST   36 STREET,10018,Manhattan,6466660531,Chinese,40.7537812,-73.99327933,104,3,11100,1013578,1007590053,MN13
17700,50079007,MILE END DELICATESSEN,97A,HOYT STREET,11217,Brooklyn,7188527510,American,40.68750004,-73.98716703,302,33,4100,3000872,3001830007,BK38
